cpp/-O0;cpp/-O1;cpp/-O2;cpp/-O3;cpp/-Ofast;cpp/-Os;java/;php/;cs/;java//no-inline;php//no-inline;cs//no-inlline;java//dce=no;php//dce=no;cs//dce=no;java//no-pattern-matching;php//no-pattern-matching;cs//no-pattern-matching;java//no-opt;php//no-opt;cs//no-opt
1.385288967;1.068301226;1;1.001751313;1.007880911;1.055166375;1.288091068;8.131348511;1.289842382;1.305604203;8.165499124;1.298598949;1.249562172;8.125218914;1.273204904;1.26882662;8.084938704;1.249562172;1.257443082;8.090192644;1.282837128
1.210743802;1.053719008;1.011363636;1;1.035123967;1.063016529;1.379132231;5.76446281;1.274793388;1.300619835;5.799586777;1.287190083;1.381198347;5.791322314;1.309917355;1.339876033;5.705578512;1.270661157;1.368801653;5.733471074;1.287190083
1.175980975;1.087990488;1.035671819;1.052318668;1.053507729;1;1.36979786;2.906064209;1.216409037;1.410225922;2.986920333;1.22235434;1.37098692;2.865636147;1.219976219;1.424494649;2.917954816;1.178359096;1.38882283;2.839476813;1.199762188
1.117861482;1.041312272;1.009720535;1;1.02673147;1.077764277;1.409477521;2.397326853;1.268529769;1.413122722;2.415552855;1.238153098;1.415552855;2.379100851;1.27582017;1.387606318;2.326852977;1.408262454;1.388821385;2.379100851;1.314702309
1.24137931;1.0189099;1.013348165;1;1.028921023;1.04894327;1.444938821;3.505005562;1.212458287;1.40378198;3.53948832;1.218020022;1.444938821;3.494994438;1.184649611;1.477196885;3.498331479;1.170189099;1.46051168;3.526140156;1.193548387
1.099121706;1;1.036386449;1.070263488;1.027603513;1.094102886;1.543287327;1.469259724;1.435382685;1.559598494;1.501882058;1.373902133;1.598494354;1.471769134;1.377666248;1.559598494;1.518193225;1.372647428;1.579673777;1.483061481;1.426599749
1.055555556;1.088624339;1.092592593;1;1.074074074;1.056878307;1.341269841;1.374338624;1.19047619;1.357142857;1.325396825;1.124338624;1.337301587;1.362433862;1.157407407;1.317460317;1.317460317;1.195767196;1.324074074;1.314814815;1.100529101
1.307827617;1.025505717;1;1.01759015;1.009674582;1.051011434;1.486367634;6.781002639;1.391380827;1.503957784;6.847845207;1.387862797;1.516270888;6.794195251;1.36939314;1.513632366;6.827616535;1.387862797;1.515391381;6.814423923;1.384344767
1.084455324;1.033047736;1.00244798;1.039167687;1.083231334;1;1.422276622;7.503059976;1.29375765;1.381884945;7.605875153;1.283965728;1.392900857;7.974296206;1.274173807;1.435740514;7.510403917;1.263157895;1.407588739;7.403916769;1.276621787
1.076433121;1.056050955;1;1.077707006;1.024203822;1.049681529;1.331210191;1.131210191;1.210191083;1.324840764;1.101910828;1.178343949;1.346496815;1.136305732;1.221656051;1.417834395;1.131210191;1.208917197;1.36433121;1.115923567;1.201273885
1.104819277;1.036144578;1.042168675;1;1.026506024;1.051807229;1.338554217;2.342168675;1.160240964;1.403614458;2.337349398;1.131325301;1.428915663;2.390361446;1.159036145;1.418072289;2.320481928;1.13253012;1.384337349;2.338554217;1.13253012
1.182883939;1.048065651;1.050410317;1;1.014067995;1.085580305;1.372801876;2.797186401;1.276670574;1.406799531;2.872215709;1.255568581;1.362250879;2.787807737;1.205158265;1.365767878;2.745603751;1.186400938;1.347010551;2.778429074;1.254396249
1.005102041;1.035714286;1.068877551;1;1.082908163;1.017857143;1.223214286;1.18622449;1.081632653;1.266581633;1.176020408;1.139030612;1.275510204;1.230867347;1.107142857;1.293367347;1.213010204;1.147959184;1.283163265;1.19005102;1.117346939
1.102137767;1.04631829;1.060570071;1;1.04631829;1.027315914;1.441805226;2.3847981;1.304038005;1.439429929;2.40736342;1.326603325;1.395486936;2.376484561;1.290973872;1.433491686;2.425178147;1.293349169;1.439429929;2.387173397;1.305225653
1.030112923;1.050188206;1;1.011292346;1.055207026;1.102885822;1.412797992;1.445420326;1.136762861;1.373902133;1.465495609;1.169385194;1.371392723;1.508155583;1.185696361;1.357590966;1.454203262;1.069008783;1.365119197;1.426599749;1.17565872
1.150058617;1.055099648;1.017584994;1.069167644;1;1.050410317;1.386869871;2.852286049;1.287221571;1.465416178;2.819460727;1.257913247;1.457209848;2.731535756;1.266119578;1.426729191;2.736225088;1.237983587;1.445486518;2.747948417;1.232121923
1.163551402;1.00817757;1.038551402;1.044392523;1.021028037;1;1.688084112;3.117990654;1.815420561;1.810747664;2.992990654;1.761682243;1.738317757;3.10046729;1.796728972;1.719626168;3.14135514;1.815420561;1.688084112;3.178738318;1.803738318
1.166666667;1.007142857;1.003571429;1;1.05952381;1.039285714;1.766666667;2.61547619;1.8;1.744047619;2.641666667;1.798809524;1.676190476;2.60952381;1.836904762;1.75952381;2.578571429;1.810714286;1.692857143;2.604761905;1.792857143
1.906030856;1.044880785;1.066619916;1.035764376;1;1.149368864;1.22230014;13.28821879;1.53997195;1.245441795;13.14235624;1.513323983;1.223001403;13.32187938;1.523842917;1.175315568;13.23702665;1.502805049;1.210378682;12.98316971;1.5371669
1.00879397;1;1.010050251;1;1.030150754;1;1.26758794;1.16080402;1.074120603;1.251256281;1.201005025;1.055276382;1.311557789;1.183417085;1.104271357;1.255025126;1.184673367;1.126884422;1.265075377;1.256281407;1.061557789
1.039641944;1;1.014066496;1.031969309;1.02685422;1.044757033;1.235294118;1.200767263;1.047314578;1.248081841;1.180306905;1.085677749;1.245524297;1.20971867;1.109974425;1.23657289;1.200767263;1.095907928;1.24168798;1.181585678;1.113810742
1.054987212;1.046035806;1.019181586;1;1.057544757;1.052429668;1.332480818;1.223785166;1.095907928;1.314578005;1.277493606;1.086956522;1.277493606;1.277493606;1.126598465;1.318414322;1.292838875;1.103580563;1.265984655;1.391304348;1.154731458
1.322053676;1;1.04084014;1.059509918;1.060676779;1.05134189;1.276546091;2.541423571;1.136522754;1.257876313;2.283547258;1.161026838;1.243873979;2.388564761;1.124854142;1.309218203;2.366394399;1.100350058;1.232205368;2.375729288;1.123687281
1.766465257;1.031117825;1;1.05407855;1.039577039;1.073111782;1.212084592;97.55830816;1.161329305;1.222960725;97.31238671;1.171299094;1.190936556;97.33595166;1.187311178;1.230513595;96.8652568;1.160120846;1.200906344;96.6163142;1.155287009
1.46961326;1.002367798;1.010260458;1.000789266;1;1.061562747;1.250986582;36.58405683;1.249408051;1.2691397;36.09155485;1.203630624;1.259668508;36.27624309;1.234411997;1.239936859;36.29360695;1.241515391;1.277821626;36.25414365;1.221783741
1.259803922;1.011764706;1.002941176;1;1.012745098;1.050980392;1.159803922;18.46764706;1.055882353;1.198039216;18.28039216;1.062745098;1.142156863;18.11666667;1.066666667;1.171568627;18.25784314;1.125490196;1.218627451;18.03627451;1.025490196
1.012285012;1.017199017;1.022113022;1.01965602;1.018427518;1;1.28992629;1.409090909;1.125307125;1.286240786;1.431203931;1.057739558;1.339066339;1.399262899;1.098280098;1.364864865;1.450859951;1.076167076;1.302211302;1.42014742;1.14987715
1.477690289;1.005249344;1;1.022747157;1.032370954;1.071741032;1.388451444;12.29396325;1.322834646;1.43832021;12.54068241;1.341207349;1.391076115;12.26771654;1.353455818;1.396325459;12.28346457;1.334208224;1.385826772;12.26771654;1.365704287
1.113772455;1;1.05748503;1.047904192;1.070658683;1.080239521;1.54011976;2.673053892;1.245508982;1.522155689;2.65988024;1.228742515;1.534131737;2.65748503;1.258682635;1.529341317;2.651497006;1.189221557;1.567664671;2.649101796;1.220359281
1.127950311;1;1.040993789;1.052173913;1.055900621;1.064596273;1.339130435;1.643478261;1.209937888;1.376397516;1.591304348;1.267080745;1.31552795;1.619875776;1.257142857;1.347826087;1.592546584;1.252173913;1.320496894;1.631055901;1.207453416
1.014824798;1.053908356;1.063342318;1.02425876;1.020215633;1.035040431;1.02425876;1.092991914;1.110512129;1.032345013;1.080862534;1.07277628;1.052560647;1.067385445;1.101078167;1;1.076819407;1.106469003;1.047169811;1.006738544;1.03638814
1.128040973;1.092189501;1.052496799;1.075544174;1;1.076824584;1.597951344;1.959026889;1.290653009;1.519846351;1.955185659;1.343149808;1.545454545;1.95006402;1.352112676;1.539052497;1.914212548;1.33290653;1.512163892;1.893725992;1.321382843
1.02345679;1.027160494;1.067901235;1;1.02345679;1.008641975;1.34691358;1.519753086;1.254320988;1.441975309;1.54691358;1.202469136;1.340740741;1.525925926;1.202469136;1.35308642;1.508641975;1.186419753;1.322222222;1.462962963;1.225925926
1.045292014;1.00238379;1.047675805;1.025029797;1.010727056;1;1.36829559;1.545887962;1.218116806;1.323003576;1.532777116;1.224076281;1.336114422;1.557806913;1.174016687;1.348033373;1.542312277;1.191895113;1.357568534;1.553039333;1.210965435
1.184536082;1.045360825;1.020618557;1;1.025773196;1.043298969;1.362886598;3.526804124;1.32371134;1.393814433;3.48556701;1.307216495;1.332989691;3.504123711;1.28556701;1.32371134;3.496907216;1.278350515;1.335051546;3.504123711;1.302061856
1;1.013550136;1.028455285;1.06097561;1.048780488;1.047425474;1.020325203;1.059620596;1.025745257;1.058265583;1.130081301;1.047425474;1.04200542;1.058265583;1.092140921;1.069105691;1.055555556;1.043360434;1.142276423;1.039295393;1.054200542
2.655557734;1.367673005;1.365516565;1.50725348;1.452460302;1.50597922;1.127524015;66.84169771;1.788962948;1.066359537;66.36473241;1.801117428;1;66.0347971;1.900705744;1.135855715;66.28847285;1.772985689;1.056557538;66.35483239;1.786806509
1.13740458;1.08524173;1;1.076335878;1.089058524;1.105597964;1.315521628;1.72264631;1.270992366;1.437659033;1.660305344;1.25826972;1.460559796;1.632315522;1.262086514;1.39821883;1.642493639;1.243002545;1.410941476;1.68956743;1.213740458
1.038847118;1.031328321;1.036340852;1.041353383;1.035087719;1;1.347117794;1.401002506;1.187969925;1.36716792;1.423558897;1.166666667;1.364661654;1.414786967;1.184210526;1.352130326;1.383458647;1.210526316;1.339598997;1.360902256;1.172932331
1.098191214;1.058139535;1;1.071059432;1.065891473;1.043927649;1.369509044;1.339793282;1.182170543;1.357881137;1.387596899;1.19250646;1.361757106;1.361757106;1.209302326;1.388888889;1.34754522;1.162790698;1.388888889;1.374677003;1.255813953
1.092105263;1;1.081578947;1.047368421;1.026315789;1.051315789;1.319736842;1.192105263;1.169736842;1.519736842;1.196052632;1.194736842;1.314473684;1.157894737;1.189473684;1.409210526;1.198684211;1.167105263;1.361842105;1.167105263;1.182894737
1.048346056;1;1.128498728;1.114503817;1.017811705;1.075063613;1.340966921;1.296437659;1.159033079;1.366412214;1.347328244;1.375318066;1.332061069;1.319338422;1.202290076;1.335877863;1.472010178;1.193384224;1.351145038;1.340966921;1.18956743
1.085350318;1.078980892;1.081528662;1.05477707;1.2;1;1.389808917;1.485350318;1.243312102;1.422929936;1.541401274;1.249681529;1.450955414;1.475159236;1.261146497;1.389808917;1.549044586;1.282802548;1.422929936;1.461146497;1.25477707
1.071693449;1.011124845;1.00618047;1;1.009888752;1.002472188;1.48578492;1.516687268;1.22249691;1.405438813;1.515451174;1.194066749;1.406674907;1.571075402;1.16934487;1.354758962;1.516687268;1.205191595;1.35723115;1.462299135;1.231149567
1.169879518;1.046987952;1.044578313;1.024096386;1;1.074698795;1.468674699;2.968674699;1.44939759;1.480722892;3.095180723;1.360240964;1.519277108;2.959036145;1.35060241;1.469879518;3.01686747;1.330120482;1.518072289;2.986746988;1.381927711
1.065868263;1.05748503;1.014371257;1.075449102;1;1.015568862;1.389221557;2.097005988;1.243113772;1.360479042;2.091017964;1.19760479;1.358083832;2.034730539;1.22994012;1.37245509;2.068263473;1.243113772;1.376047904;2.062275449;1.223952096
1.081578947;1.118421053;1;1.027631579;1.031578947;1.017105263;1.305263158;1.240789474;1.167105263;1.327631579;1.242105263;1.177631579;1.327631579;1.272368421;1.202631579;1.356578947;1.260526316;1.189473684;1.306578947;1.269736842;1.178947368
1.007177033;1;1.019138756;1.017942584;1.063397129;1.016746411;1.31937799;1.515550239;1.186602871;1.290669856;1.470095694;1.133971292;1.348086124;1.526315789;1.150717703;1.370813397;1.497607656;1.197368421;1.333732057;1.541866029;1.160287081
1.098258706;1.052238806;1.059701493;1.063432836;1;1.099502488;1.381840796;1.565920398;1.187810945;1.369402985;1.536069652;1.196517413;1.401741294;1.552238806;1.248756219;1.378109453;1.529850746;1.21641791;1.395522388;1.527363184;1.269900498
2.00338737;1.427050569;1.415920639;1.412049359;1.402613114;1.518025647;1.016694895;23.0123397;1.802322768;1.020566175;23.1742076;1.793854343;1;22.89789499;1.780062908;1.031696105;22.99007985;1.788047423;1.03193806;22.98959594;1.795306073
1.482675262;1;1.016116035;1.014504432;1.00886382;1.091861402;1.448831587;9.4544722;1.810636583;1.503626108;9.544721998;1.812248187;1.410153102;9.70910556;1.821917808;1.411764706;9.405318292;1.825141015;1.473005641;9.432715552;1.777598711
1.058064516;1;1.043870968;1.038709677;1.043870968;1.054193548;1.378064516;1.463225806;1.192258065;1.323870968;1.496774194;1.127741935;1.331612903;1.44;1.169032258;1.305806452;1.438709677;1.130322581;1.313548387;1.403870968;1.100645161
