3010560;2150400;1949696;37355520;3043328;2318336;1683456;2289664;3665920;1642496;2240512;3948544;80830464;3805184;2572288;2781184;1691648;1814528;1638400;1560576;1703936;1761280;2146304;2822144;1159168;2150400;2703360;1847296;2908160;3092480;2437120;2727936;2322432;3801088;1961984;1892352;2682880;3817472;2883584;3022848;1802240;1347584;1667072;2158592;1728512;2158592;2785280;2334720;1740800;1359872
1941504;1966080;2269184;2461696;3014656;3379200;2031616;1609728;2232320;1892352;2408448;2285568;71372800;1384448;4894720;1945600;2240512;3584000;4415488;2535424;3813376;3223552;1986560;1667072;1601536;1892352;2613248;1978368;4485120;3616768;2756608;2457600;1724416;7852032;2867200;1613824;1269760;2048000;4632576;2355200;2084864;2244608;3280896;3452928;1720320;3596288;2854912;2498560;4177920;2641920
3706880;1875968;2543616;3407872;1630208;3993600;2084864;3776512;2015232;2224128;2387968;2973696;86667264;1667072;2322432;2527232;2105344;2232320;2281472;3493888;2879488;2187264;1769472;1761280;1773568;1929216;1654784;3112960;3506176;2183168;4427776;4620288;1941504;2924544;2592768;1552384;1683456;1581056;4345856;2125824;2469888;4235264;3248128;2134016;2330624;2691072;4018176;3559424;2928640;2805760
1810432;2568192;1687552;3796992;2564096;2293760;2068480;2306048;2224128;2400256;2023424;1708032;80523264;3260416;3346432;3301376;2883584;3715072;2879488;2473984;1511424;2908160;2015232;3821568;2260992;2449408;2244608;2592768;2281472;2514944;2560000;2248704;2580480;2023424;3354624;3104768;2404352;2383872;4251648;2134016;3538944;2752512;2207744;4210688;1941504;3829760;2174976;3330048;1327104;3551232
1802240;1277952;1449984;2379776;2224128;2543616;2248704;3567616;2924544;2834432;1773568;2756608;87896064;1945600;1589248;3219456;3362816;2879488;2547712;2265088;1286144;2048000;3522560;3182592;3067904;2482176;1978368;2187264;2215936;4509696;9158656;2326528;2387968;2531328;3751936;2932736;2498560;2031616;2686976;3829760;2191360;2555904;3878912;2179072;4202496;2203648;2322432;2195456;2453504;2269184
2314240;1454080;2576384;2338816;1712128;1785856;3420160;2494464;3469312;2166784;2625536;1216512;82739200;3076096;1617920;2043904;1929216;3551232;3510272;3350528;1937408;1466368;2080768;2170880;1236992;1957888;2121728;1654784;1839104;1835008;1171456;4378624;2064384;3231744;3997696;4128768;2019328;2310144;2383872;2031616;1572864;1572864;2031616;2326528;1699840;2478080;1925120;1581056;2973696;2428928
2318336;1859584;2056192;7733248;5271552;7811072;1720320;4173824;1904640;4083712;2076672;4206592;677806080;2056192;1703936;5533696;1994752;1912832;4022272;1871872;1855488;4079616;9883648;2060288;2097152;2080768;2052096;1802240;2011136;4108288;4337664;4124672;4145152;4042752;3411968;4169728;7487488;2056192;9617408;4091904;8036352;1966080;2707456;5541888;5578752;1978368;1921024;1921024;4661248;2162688
4452352;4399104;4456448;12697600;52248576;254541824;3907584;4648960;4505600;72499200;97427456;120295424;183451648;4595712;4468736;4546560;4718592;4468736;4567040;145211392;4616192;88813568;23048192;73248768;4300800;3846144;93335552;53362688;4276224;4284416;60968960;56582144;97824768;101892096;16293888;4190208;25055232;4431872;4476928;149032960;33685504;4329472;4345856;17825792;4263936;4374528;4071424;4456448;27701248;4161536
3915776;6516736;6635520;3690496;11104256;6504448;6549504;3825664;6561792;5963776;29290496;31678464;41906176;3907584;10780672;3915776;6680576;11042816;3784704;8941568;11128832;3715072;3764224;3801088;3805184;4014080;6578176;6283264;8753152;8740864;3735552;3821568;6672384;3682304;6516736;3891200;8704000;6459392;8974336;4067328;9150464;9043968;6574080;8994816;8904704;6557696;6524928;6139904;8826880;3899392
4026368;4530176;7495680;1863680;5373952;4403200;1654784;4059136;4407296;1814528;4448256;1830912;539414528;1875968;1617920;1851392;1925120;2121728;1867776;4186112;7393280;2052096;2338816;1810432;1970176;7532544;1830912;2416640;1658880;2306048;4050944;1937408;2007040;1863680;5124096;1814528;1568768;1912832;1941504;5353472;3313664;1978368;4554752;4423680;4685824;3964928;1830912;4034560;1961984;1933312
