0.803;0.813;0.825;1.133
0.796;0.782;0.818;0.857
0.804;0.793;0.797;0.892
0.796;0.807;0.782;0.908
0.820;0.803;0.827;0.909
0.796;0.817;0.823;0.901
1.009;0.966;1.042;1.094
0.924;0.939;0.957;2.178
0.855;0.819;0.857;0.974
0.996;0.976;1.028;1.078
0.956;0.923;0.999;1.957
0.840;0.849;0.850;0.995
0.954;0.954;0.926;0.984
0.823;0.837;0.806;0.828
0.841;0.860;0.838;0.803
1.044;0.974;0.999;1.066
0.942;0.946;0.999;2.047
0.879;0.868;0.881;0.964
0.999;0.967;1.031;1.122
0.943;0.939;1.011;2.028
0.897;0.857;0.863;0.943
1.007;0.971;0.990;1.056
1.000;0.924;1.088;2.036
0.845;0.871;0.903;0.963
