0.881;0.829;0.877;1.149;0.738;27.092;0.894;0.829;0.850;0.830;0.824;0.852;0.867;0.971;0.890;0.822;0.842;0.883;8.280
0.853;0.832;0.841;1.014;0.748;13.953;0.853;0.823;0.819;0.760;0.786;0.847;0.818;0.869;0.883;0.850;0.836;0.846;5.898
0.822;0.865;0.879;0.990;0.759;13.931;0.786;0.827;0.774;0.822;0.887;0.849;0.814;0.867;0.847;0.760;0.852;0.852;5.852
0.840;0.810;0.860;0.970;0.783;15.377;0.846;0.831;0.829;0.796;0.876;0.828;0.809;0.850;0.898;0.781;0.851;0.855;5.836
0.781;0.829;0.848;0.995;0.774;14.818;0.856;0.826;0.825;0.780;0.800;0.942;0.817;0.830;0.835;0.784;0.889;0.804;5.797
0.841;0.817;0.839;1.012;0.773;15.364;0.869;0.798;0.808;0.799;0.845;0.785;0.811;0.892;0.848;0.773;0.850;0.884;6.274
1.248;1.091;1.148;1.322;0.753;11.503;1.034;1.075;1.060;1.003;1.054;1.091;1.202;1.219;1.160;0.992;1.103;1.111;4.202
1.530;1.231;1.297;3.421;0.782;681.919;1.354;1.118;1.037;0.906;1.019;1.166;1.227;2.464;1.751;0.943;1.267;1.259;95.110
1.008;1.016;1.022;1.284;0.757;18.251;0.999;0.948;0.915;0.889;0.911;0.976;0.989;1.203;1.038;0.887;0.992;0.955;7.449
1.187;1.168;1.110;1.352;0.781;10.879;1.130;1.091;1.051;1.155;1.074;1.117;1.137;1.229;1.136;1.009;1.079;1.101;4.218
1.527;1.253;1.286;3.381;0.834;677.053;1.305;1.136;1.074;0.909;1.059;1.210;1.226;2.569;1.746;0.944;1.229;1.235;95.779
1.049;0.974;1.027;1.268;0.773;18.375;0.989;0.931;0.923;0.908;1.081;0.981;0.966;1.129;1.000;0.895;0.948;0.962;7.414
0.917;0.930;0.919;0.948;0.820;0.902;0.947;0.928;0.951;0.935;0.922;0.922;0.918;0.924;0.906;0.898;0.921;0.924;0.986
0.814;0.849;0.838;0.846;0.794;0.817;0.804;0.834;0.800;0.811;0.843;0.925;0.841;0.800;0.822;0.815;0.819;0.828;0.789
0.835;0.813;0.828;0.860;0.779;0.812;0.828;0.814;0.831;0.837;0.793;0.826;0.818;0.829;0.851;0.857;0.807;0.823;0.842
1.207;1.086;1.121;1.293;0.769;10.202;1.148;1.089;1.054;0.999;1.047;1.139;1.138;1.261;1.134;1.009;1.127;1.127;4.133
1.523;1.236;1.307;3.399;0.781;673.687;1.283;1.129;1.054;0.880;1.037;1.158;1.271;2.456;1.699;0.967;1.276;1.248;94.637
1.056;0.974;0.985;1.247;0.806;19.391;0.992;0.945;0.936;0.904;0.945;0.990;0.946;1.121;1.027;0.914;0.962;1.004;7.357
1.202;1.096;1.131;1.284;0.789;11.588;1.099;1.079;1.075;1.071;1.050;1.091;1.096;1.220;1.146;1.031;1.146;1.108;4.264
1.495;1.222;1.294;3.392;0.779;676.275;1.291;1.104;1.043;0.911;1.157;1.216;1.227;2.504;1.727;0.958;1.252;1.230;95.018
1.041;0.961;1.000;1.240;0.770;18.088;0.977;0.966;0.900;0.887;0.938;1.007;0.975;1.104;1.038;0.904;1.001;0.978;7.390
1.181;1.071;1.139;1.295;0.843;10.779;1.109;1.069;1.075;1.035;1.062;1.117;1.098;1.260;1.149;0.993;1.115;1.122;4.265
1.479;1.185;1.303;3.399;0.767;676.952;1.328;1.086;1.064;0.887;1.054;1.147;1.183;2.479;1.722;0.965;1.289;1.228;95.016
1.032;0.993;1.016;1.263;0.778;18.229;0.954;0.936;0.972;0.899;0.935;0.985;0.996;1.147;1.022;0.896;0.970;1.021;7.420
