550092800;1961984;2256896
432009216;2277376;2232320
291684352;2785280;2768896
406003712;3010560;2416640
548388864;2138112;978944
400019456;6266880;2744320
276877312;4624384;1822720
1551015936;589615104;316985344
420909056;8691712;6443008
287272960;5668864;1835008
1547132928;587218944;324620288
404893696;8626176;3665920
1720320;2568192;7401472
4255744;4386816;4239360
6496256;8728576;8507392
311635968;4071424;7487488
1554280448;592424960;316932096
400838656;6512640;3706880
287080448;1921024;1589248
1548222464;586936320;317886464
418725888;8769536;6397952
321826816;1699840;1642496
1544929280;587558912;315998208
267390976;8605696;8794112
